# Casbin ABAC policy — generated from authorization-matrix.md
# Format: p, role, resource, action, condition
#
# Layer convention:
#   Policy layer  — condition evaluated by Casbin enforcer per request (resource-attribute match).
#   Query layer   — scope filter applied inside the repository/service (not visible to Casbin).
#                   Marked "true" here; backend MUST apply the corresponding query filter.
#
# Condition vocabulary:
#   true                         — access granted; all scope/filter logic at query layer
#   r.obj.assignee == r.sub.id   — resource-attribute match; enforcement point must hydrate obj.assignee
#
# Resources and actions:
#   broker          read, search, create, update, delete
#   contact         read, create, update, delete
#   submission      read, transition
#   renewal         read, transition
#   dashboard_kpi   read
#   dashboard_pipeline  read
#   dashboard_nudge read
#   task            read
#   timeline_event  read
#
#   Note on broker "read" vs "search":
#     read   — fetch a single broker by ID (e.g. GET /brokers/{id})
#     search — list/search brokers by name or license (e.g. GET /brokers?q=...)
#     The matrix grants both to DistributionUser, DistributionManager, RelationshipManager, Admin.
#     Underwriter receives read only — no list/search access.
#
# Roles: DistributionUser, DistributionManager, Underwriter, RelationshipManager, ProgramManager, Admin, BrokerUser
# ExternalUser — no policy lines; implicit DENY on all resources (InternalOnly rule, §3).
#
# Open Questions (see authorization-matrix.md §4) — rows omitted until resolved:
#   OQ-1: ProgramManager broker:create, update, delete
# Resolved: OQ-4 (RelationshipManager broker:delete → DENY), OQ-5 (DistributionUser/RelationshipManager contact:delete → DENY)

# ─────────────────────────────────────────────────────────────────────────────
# §2.1 Broker
# Scope constraint (all ALLOW reads): results limited to authorized entities.
# Enforced at query layer. Source: F0002-S0002 AC4; BLUEPRINT §4.4.
# DistributionUser scope: assigned opportunities only. DistributionManager: region-scoped.
# ─────────────────────────────────────────────────────────────────────────────

# DistributionUser — create, read, search, update, delete.
# Source: F0001-S0005 Role Visibility, Nudge Selection Rules.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    dashboard_nudge, read, true
p, DistributionManager, dashboard_nudge, read, true
p, Underwriter,         dashboard_nudge, read, true
p, RelationshipManager, dashboard_nudge, read, true
p, ProgramManager,      dashboard_nudge, read, true
p, Admin,               dashboard_nudge, read, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.8 Task — Manage Own Tasks
# Ownership enforced at policy layer (resource-attribute check).
# Enforcement point MUST hydrate r.obj.assignee before calling the enforcer (request on create; DB on read/update/delete).
# Mapping: r.obj.assignee == Task.AssignedToUserId (domain field, uuid per F0005).
# Read-only in dashboard context. No create/update/delete from widget (F0001-S0003 out of scope).
# Status filter (Open/InProgress only; Done excluded) enforced at query layer for /my/tasks.
# Admin: own tasks only in MVP; cross-user task view is explicitly Future (F0001-S0003 Role Visibility).
# DistributionManager: own tasks only for dashboard widget.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    task, create, r.obj.assignee == r.sub.id
p, DistributionUser,    task, read,   r.obj.assignee == r.sub.id
p, DistributionUser,    task, update, r.obj.assignee == r.sub.id
p, DistributionUser,    task, delete, r.obj.assignee == r.sub.id
p, DistributionManager, task, create, r.obj.assignee == r.sub.id
p, DistributionManager, task, read,   r.obj.assignee == r.sub.id
p, DistributionManager, task, update, r.obj.assignee == r.sub.id
p, DistributionManager, task, delete, r.obj.assignee == r.sub.id
p, Underwriter,         task, create, r.obj.assignee == r.sub.id
p, Underwriter,         task, read,   r.obj.assignee == r.sub.id
p, Underwriter,         task, update, r.obj.assignee == r.sub.id
p, Underwriter,         task, delete, r.obj.assignee == r.sub.id
p, RelationshipManager, task, create, r.obj.assignee == r.sub.id
p, RelationshipManager, task, read,   r.obj.assignee == r.sub.id
p, RelationshipManager, task, update, r.obj.assignee == r.sub.id
p, RelationshipManager, task, delete, r.obj.assignee == r.sub.id
p, ProgramManager,      task, create, r.obj.assignee == r.sub.id
p, ProgramManager,      task, read,   r.obj.assignee == r.sub.id
p, ProgramManager,      task, update, r.obj.assignee == r.sub.id
p, ProgramManager,      task, delete, r.obj.assignee == r.sub.id
p, Admin,               task, create, r.obj.assignee == r.sub.id
p, Admin,               task, read,   r.obj.assignee == r.sub.id
p, Admin,               task, update, r.obj.assignee == r.sub.id
p, Admin,               task, delete, r.obj.assignee == r.sub.id

# ─────────────────────────────────────────────────────────────────────────────
# §2.9 Activity Timeline Event — Broker Events
# Read-only. No create/update/delete for any role (append-only, BLUEPRINT §1.4).
# EntityType = Broker filter enforced at query layer (F0001-S0004 Validation Rules).
# Scope enforced at query layer per role:
#   DistributionUser    → assigned opportunities only
#   DistributionManager → region-scoped
#   Underwriter         → brokers linked to submissions accessible by user
#   RelationshipManager → brokers the user manages
#   ProgramManager      → brokers within user's programs
#   Admin               → unscoped
# Source: F0001-S0004 Role Visibility, AC Checklist.
# ─────────────────────────────────────────────────────────────────────────────

p, DistributionUser,    timeline_event, read, true
p, DistributionManager, timeline_event, read, true
p, Underwriter,         timeline_event, read, true
p, RelationshipManager, timeline_event, read, true
p, ProgramManager,      timeline_event, read, true
p, Admin,               timeline_event, read, true

# ─────────────────────────────────────────────────────────────────────────────
# §2.10 BrokerUser (Phase 1 Delta — F0009)
# BrokerUser is external and read-first in Phase 1.
# Scope + field filtering constraints are enforced at query/response layer:
#   - broker scope resolves from authenticated broker_tenant_id -> exactly one active tenant mapping
#   - default deny if claim missing or mapping count != 1
#   - InternalOnly fields omitted server-side
#   - enforcement order: tenant query isolation -> Casbin ABAC decision -> DTO/response filtering
# Source: authorization-matrix.md §2.10, F0009-S0004.
#
# F-006 Resolution (2026-03-04):
#   dashboard_kpi     — DENY: KPI aggregates submission/renewal data; endpoint shape cannot be safely
#                       filtered for BrokerUser in Phase 1. No policy line = implicit deny.
#   dashboard_pipeline — DENY: entirely submission/renewal status counts; no BrokerVisible data.
#                       No policy line = implicit deny.
#   dashboard_nudge   — ALLOW with mandatory query-layer scope filter:
#                       return only OverdueTask nudges where linkedEntityType='Broker'
#                       AND linkedEntityId IN resolved broker scope.
#                       StaleSubmission and UpcomingRenewal types excluded at query layer.
# ─────────────────────────────────────────────────────────────────────────────

p, BrokerUser, broker,            read,   true
p, BrokerUser, broker,            search, true
p, BrokerUser, contact,           read,   true
p, BrokerUser, dashboard_nudge,   read,   true
p, BrokerUser, timeline_event,    read,   true
p, BrokerUser, task,              read,   true
